displayName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,nflId,position
David Long,-0.2436332476802363,-1.3083584178145315,0.9313370579232014,1.118743484250193,-0.41215506803158775,-1.0617308599914281,1.7959564811592372,0.8325130898817861,-0.7480426059384939,-0.1949426567975081,0.5506812247784865,-0.2574459971046137,0.2923343658505573,0.2169665297441128,-1.1852891232567444,-0.5697648985446904,-0.23343529851615585,1.3633585197096636,-0.37507134720910074,0.2621294292601135,0.4731366463904578,1.567027122693986,2.2622197527140315,-1.1154646168846902,0.8589811099506051,-0.3585692244651,-0.48387403682487307,0.8890760890814136,-0.1861083348168222,-0.8643837940106209,-1.0787160199935926,-0.4659035725178313,47862.0,CB
Gabe Davis,-0.9193333691144971,-3.708827419254032,2.7784337343987247,2.686771802938253,-0.8061954728540925,-2.8491459719857914,4.784182751335578,1.7529878080533194,-1.8024467317410942,-0.24179135054793122,1.4903185459105543,-0.8202876577813143,0.7649508666724874,0.5514387468181248,-2.701238372129371,-1.5901089063257245,-0.8427379002629891,3.1750341419347023,-0.5969243209445487,0.4774959385836155,1.18544077802607,4.047108066687258,6.126431417348787,-2.909370272370765,2.148939856136394,-0.7021321690158402,-1.584896196181134,2.2744931029929916,-0.5316925552512544,-2.7830118066216833,-3.00186709417979,-1.341408554826121,52536.0,WR
Nick Scott,-2.2879310432236935,-3.982920541656606,3.2262166430012513,2.53229855003206,-0.8751583209857356,-2.0856164908241155,5.495209750743541,1.6633771152993546,-0.3802387531749636,-0.3420561577084449,1.8422295017931738,-0.22799608560173024,1.6401301911544763,-0.3323167085892358,-2.0735399848960796,-2.9664926435530257,-2.0874039914991513,3.2499739312768785,1.2957296702227978,1.6138747844655086,1.0525692859684064,4.650993758549262,5.972293768820371,-3.4857516911643884,1.4692254625556522,0.01470356681670637,-1.247067748498182,1.0309094311562959,0.7529676691755469,-2.924781810508536,-2.5511670352985547,-0.6907127847000609,48026.0,SS
Troy Hill,-0.6384665714054734,-1.512752451211405,1.1932219202354446,0.985630816376954,-0.28746577066492307,-0.9930470560186677,2.1136609348862976,0.6168137551460404,-0.374365237254799,-0.0365486743449317,0.6732248502900688,-0.13635163630719127,0.49334130754783967,0.014431161919276292,-1.0178760184435305,-0.8805063099599693,-0.6235634785129065,1.354836220011265,0.17440307382031506,0.48536648104692404,0.49050347210805256,1.7533789650431117,2.393043956808932,-1.3470154360278084,0.7087564295242696,-0.23869599627232674,-0.5274999124877269,0.6618495845141821,0.13402619417513506,-1.0627401582877525,-1.1739289230200711,-0.35425121208319865,42816.0,CB
Isaiah McKenzie,-0.8669306290227112,-1.9428606101011923,1.5494034937771346,1.2325111682617091,-0.34133546118061986,-1.1906642125114786,2.5187375341218328,0.737016568839806,-0.4964496604070483,-0.04283716253367231,0.9039517835548134,-0.27141296952521543,0.5379973124257731,0.14002661396695615,-0.9459028530477838,-1.0705368930840535,-0.8069335734426346,1.3450813483072288,0.23886551017507074,0.4544096601456431,0.7036302109356711,2.12312256248196,2.9013233081042173,-1.5186266552813024,0.8361076403318606,-0.07093527679126055,-0.8332044048633378,0.736941817865862,-0.06538900448764196,-1.5755680902374962,-1.4277640943679586,-0.5675015949397846,44985.0,WR
Football,-62.96070859655952,-162.0222494820963,108.99511451695633,84.15125858139018,-2.1288373188715006,-85.98970452060759,182.43721889817567,18.671286557742505,-44.25502779449101,13.888398386298402,83.41949716324486,-28.463304276414384,13.149902254816217,-7.540139467781639,-11.032848860709812,-50.77812537847141,-41.17441068241223,29.641837147627832,46.546249776000025,58.505585452875806,55.92047845863627,149.36337309593188,167.62612463586487,-77.10335099678062,31.896983659039474,0.6654453032076901,-62.081246027886664,47.140720121549215,-6.65750155319564,-117.759754956135,-94.10750753459136,-53.169543816532325,0.0,
Jalen Ramsey,-1.212736093373195,-4.3526475203168005,3.2491337160367744,3.226002597153183,-1.044754328016154,-3.155795651891367,5.918143525303449,2.1752467041105774,-1.7790015413182108,-0.3102363058445725,1.8761795957185115,-0.6694559252699044,1.1065185953379224,0.23436335345800785,-3.3220500831465642,-2.056036805384913,-1.105318311238328,4.041229617214121,-0.3523143746916393,1.180572180519855,1.404600413266735,4.994715337852767,7.098638452479406,-3.666168977326846,2.342518825871995,-0.9309753932725755,-1.5168460961589525,2.506127140758842,-0.08833021279150444,-2.8932377741221273,-3.4216682169857293,-1.2428703962627328,43294.0,CB
Taylor Rapp,-1.6150990591978598,-3.412284705389242,2.6470154321108588,2.065013924239082,-0.5495718701704959,-1.7924387851118126,4.4620313636396745,1.1710321535938562,-0.5449038529741532,-0.19230171114490702,1.4827125373482275,-0.2892488497633465,1.1392799485274772,-0.12166220930673077,-1.5792231478730798,-2.218835746501,-1.6179293819355678,2.475115786392461,0.9828879225852702,1.3674010933689829,1.002256722110964,3.7142870247052997,4.8623440312418715,-2.7061992067261214,1.172372173742072,-0.017007177822847552,-1.1119594044979664,0.9083750486712745,0.45237673349581087,-2.55208949959885,-2.259487663175456,-0.7368862105557605,47844.0,FS
Stefon Diggs,-1.295898388913315,-3.200672464318558,2.678637123866147,2.3016953131981115,-0.8434109374345837,-2.216147536404577,4.465117022301257,1.592197854052415,-0.9336725630227365,-0.2659655488772614,1.502606538037071,-0.3765620362915918,1.1093717928909639,0.0857236663979819,-2.41574470016202,-1.9863973369031669,-1.2506817686550704,3.0138062312646525,0.12018382887516976,0.7761223728641085,1.007052171574692,3.8027624066061207,5.4058215943674455,-2.898801321319926,1.6543734084257231,-0.3550482459397699,-1.1925885839702346,1.60026030027268,0.10927627614387703,-2.310299052637234,-2.47870096751727,-0.740625889692538,42489.0,WR
Dion Dawkins,-2.918901301566734,-4.625873109372559,4.355228602632485,0.8255368593866734,0.19437640057181227,-2.490931479027722,3.3682561211508535,-1.1117620191536197,-1.0587840732989169,-0.687564048316808,1.5760514725215575,-0.6452532287616322,0.1230737104268087,-1.9987190035519147,1.2484349029314945,-2.81488789463004,-0.7269660894209622,0.024263486421553182,2.34124191449534,-0.6025193964067341,-0.483391139672257,2.9143705276294902,3.4571081102870664,0.07791407876371537,0.058185374312609284,0.40082110296862083,-2.3668037542191485,2.7698694495086045,-0.16363335165748794,-3.9356380980527064,-1.765330769225443,-1.0130083726455497,44875.0,T
