displayName,0,1,2,nflId,position
Gabe Davis,6.891518226442912,-9.98303056485797,1.0583154747038463,52536.0,WR
David Long,4.206648164287117,-2.269063190258805,-1.5356773481544224,47862.0,CB
Nick Scott,1.0476102516072388,-2.469912797604451,0.1775228680747034,48026.0,SS
Troy Hill,1.9141059331836061,-0.8060771248906349,-1.223706018410951,42816.0,CB
Isaiah McKenzie,0.7987759333170743,-4.780802994943571,1.6575593997516762,44985.0,WR
Football,-75.0214793864254,-810.0721093880845,414.66839147801215,0.0,
Jalen Ramsey,8.34478112280317,-5.3597046074826835,-3.075946401272404,43294.0,CB
Taylor Rapp,0.7000650160441921,-4.397520029023809,1.5173051795571837,47844.0,FS
Stefon Diggs,3.2864450149061177,-4.676462681851916,-0.2509227009712731,42489.0,WR
Bobby Wagner,-7.773898365210442,-30.419535896322117,17.962897610465742,38577.0,ILB
Devin Singletary,-3.4893823806486353,-14.728530706444815,9.446916010653212,47857.0,RB
Dion Dawkins,-7.406607059946509,-30.090888544290607,18.325235266012953,44875.0,T
Keir Thomas,-0.1523595296730491,-0.36508607204450527,0.28560150938210427,54750.0,OLB
Mitch Morse,-7.037212985141423,-15.836840760939424,10.913149012970166,42392.0,C
Tommy Sweeney,-0.6287229913987176,-2.909246319902195,1.7325962105085182,48011.0,TE
A'Shawn Robinson,-5.862307522250916,-17.59626953511974,11.520755484308083,43335.0,DT
Terrell Lewis,-2.720157892940936,-12.117646202874312,6.902515984926069,52492.0,OLB
Spencer Brown,-4.389723543712115,-18.297907861538725,10.80023242311762,53522.0,T
Rodger Saffold,-9.29983683308086,-22.73289578230295,16.69797416751831,35472.0,G
Ryan Bates,-9.112191057207212,-24.825315207099834,16.89241604801363,48512.0,C
Aaron Donald,-6.542684802935128,-21.750188915474325,14.308273732280213,41239.0,DT
Josh Allen,-3.4408777949786398,-19.811143398442994,11.084784761516403,46076.0,QB
Greg Gaines,-8.145943458581542,-14.442194844055251,10.651396475787976,47917.0,NT
Ben Skowronek,-1.0664874573021166,-10.481943480528457,6.596126813965128,53678.0,WR
Taron Johnson,-4.361020403400516,-18.55354959287601,11.442810404040102,46190.0,CB
Jordan Poyer,2.677927057891793,-1.7189575212993873,0.5065389725342584,40166.0,SS
Cooper Kupp,1.9822228309667054,-12.617836268784458,4.7332262828839475,44881.0,WR
Christian Benford,4.279115198411546,-0.23535234962116647,-3.4176489081819454,54650.0,CB
Tyler Higbee,-3.108377990033432,-20.57046536017333,10.572412592508385,43399.0,TE
Darrell Henderson,-1.392652536616879,-9.641397969526622,5.5189070559609945,47853.0,RB
Dane Jackson,2.704339241245407,-1.2406659843724555,-3.965109956193828,52647.0,CB
Rob Havenstein,-7.044278058350642,-28.49215048111398,15.959429150207669,42400.0,T
Joseph Noteboom,-4.38676857256533,-21.688414319259863,12.074225643420505,46158.0,T
Matt Milano,-5.606742630264748,-22.490432334494017,14.032983719329849,44976.0,OLB
Allen Robinson,4.033735683646512,-3.911424661533232,-1.2414618343526058,41290.0,WR
Matthew Stafford,-1.5113929211340178,-20.471779740936043,12.174378749382186,34452.0,QB
Micah Hyde,0.5104011939579323,-0.9940643882496261,-0.19922377632246935,40107.0,FS
A.J. Epenesa,-2.665946180882429,-9.835014613706107,5.846727475354761,52462.0,DE
Brian Allen,-2.5985193637925477,-5.7448568376406115,4.483508797434297,46180.0,C
Tremaine Edmunds,-5.219524867317375,-26.12990846928068,14.147603312753148,46085.0,ILB
David Edwards,-5.138534811452217,-13.122158639495069,8.817866799828153,47952.0,G
Coleman Shelton,-5.3521906272396365,-10.65426581619436,8.051675523549676,46376.0,G
Carlos Basham,-3.0194911476757653,-8.034485650716633,5.170927336218199,53490.0,DE
Ed Oliver,-2.82246917764337,-5.820278345559267,4.391217233077668,47792.0,DT
DaQuan Jones,-7.040148559777208,-15.234094920171163,11.630584629439852,41341.0,DT
Zack Moss,-0.6777358290387383,-3.609728760221003,1.990184363230128,52494.0,RB
Leonard Floyd,-3.5855211252143135,-23.466095572358824,13.326230536876295,43298.0,DE
Justin Hollins,-2.5111822671333925,-15.589071975685897,7.843062464111767,47939.0,OLB
Reggie Gilliam,-0.1805475740516158,-4.0670648612248215,2.0717117878011777,53079.0,FB
Marquise Copeland,-2.9026036533354045,-6.585815553418399,4.780174804572994,48770.0,DT
Dawson Knox,-1.433013669015395,-12.879202758839213,7.178593250851236,47879.0,TE
